updateDate,code,code_name
2015-11-30,sh.600000,浦发银行
2015-11-30,sh.600005,武钢股份
2015-11-30,sh.600008,首创股份
2015-11-30,sh.600009,上海机场
2015-11-30,sh.600010,包钢股份
2015-11-30,sh.600011,华能国际
2015-11-30,sh.600015,华夏银行
2015-11-30,sh.600016,民生银行
2015-11-30,sh.600018,上港集团
2015-11-30,sh.600019,宝钢股份
2015-11-30,sh.600023,浙能电力
2015-11-30,sh.600027,华电国际
2015-11-30,sh.600028,中国石化
2015-11-30,sh.600029,南方航空
2015-11-30,sh.600030,中信证券
2015-11-30,sh.600031,三一重工
2015-11-30,sh.600036,招商银行
2015-11-30,sh.600038,中直股份
2015-11-30,sh.600048,保利地产
2015-11-30,sh.600050,中国联通
2015-11-30,sh.600060,海信电器
2015-11-30,sh.600066,宇通客车
2015-11-30,sh.600068,葛洲坝
2015-11-30,sh.600085,同仁堂
2015-11-30,sh.600089,特变电工
2015-11-30,sh.600100,同方股份
2015-11-30,sh.600104,上汽集团
2015-11-30,sh.600108,亚盛集团
2015-11-30,sh.600109,国金证券
2015-11-30,sh.600111,北方稀土
2015-11-30,sh.600115,东方航空
2015-11-30,sh.600118,中国卫星
2015-11-30,sh.600150,*ST船舶
2015-11-30,sh.600153,建发股份
2015-11-30,sh.600157,永泰能源
2015-11-30,sh.600166,福田汽车
2015-11-30,sh.600170,上海建工
2015-11-30,sh.600177,雅戈尔
2015-11-30,sh.600188,兖州煤业
2015-11-30,sh.600196,复星医药
2015-11-30,sh.600208,新湖中宝
2015-11-30,sh.600221,海航控股
2015-11-30,sh.600252,中恒集团
2015-11-30,sh.600256,广汇能源
2015-11-30,sh.600271,航天信息
2015-11-30,sh.600276,恒瑞医药
2015-11-30,sh.600277,亿利洁能
2015-11-30,sh.600309,万华化学
2015-11-30,sh.600315,上海家化
2015-11-30,sh.600316,洪都航空
2015-11-30,sh.600317,营口港
2015-11-30,sh.600332,白云山
2015-11-30,sh.600340,华夏幸福
2015-11-30,sh.600348,阳泉煤业
