updateDate,code,code_name
2018-01-02,511990,华宝添益ETF
2018-01-02,511880,银华日利ETF
2018-01-02,511660,货币ETF建信
2018-01-03,511990,华宝添益ETF
2018-01-03,511880,银华日利ETF
2018-01-03,510050,上证50ETF华夏
2018-01-04,511990,华宝添益ETF
2018-01-04,511880,银华日利ETF
2018-01-04,159001,保证金
2018-01-04,518880,黄金ETF华安
2018-01-05,511990,华宝添益ETF
2018-01-05,511880,银华日利ETF
2018-01-05,511660,货币ETF建信
2018-01-08,511990,华宝添益ETF
2018-01-08,511880,银华日利ETF
2018-01-08,511660,货币ETF建信
2018-01-09,511990,华宝添益ETF
2018-01-09,511880,银华日利ETF
2018-01-09,511660,货币ETF建信
2018-01-10,511990,华宝添益ETF
2018-01-10,511880,银华日利ETF
2018-01-10,511660,货币ETF建信
2018-01-10,518880,黄金ETF华安
2018-01-11,511990,华宝添益ETF
2018-01-11,511880,银华日利ETF
2018-01-11,159001,保证金
2018-01-11,511660,货币ETF建信
2018-01-12,511990,华宝添益ETF
2018-01-12,511880,银华日利ETF
2018-01-12,511660,货币ETF建信
2018-01-15,511990,华宝添益ETF
2018-01-15,511880,银华日利ETF
2018-01-15,511660,货币ETF建信
2018-01-15,510050,上证50ETF华夏
2018-01-16,511990,华宝添益ETF
2018-01-16,511880,银华日利ETF
2018-01-16,511660,货币ETF建信
2018-01-16,518880,黄金ETF华安
2018-01-17,511990,华宝添益ETF
2018-01-17,511880,银华日利ETF
2018-01-17,510050,上证50ETF华夏
2018-01-17,511660,货币ETF建信
2018-01-18,511990,华宝添益ETF
2018-01-18,511880,银华日利ETF
2018-01-18,510050,上证50ETF华夏
2018-01-18,511660,货币ETF建信
2018-01-19,511990,华宝添益ETF
2018-01-19,511880,银华日利ETF
2018-01-19,510050,上证50ETF华夏
2018-01-19,511660,货币ETF建信
2018-01-22,511990,华宝添益ETF
2018-01-22,511880,银华日利ETF
2018-01-22,511660,货币ETF建信
2018-01-22,510050,上证50ETF华夏
2018-01-23,511990,华宝添益ETF
2018-01-23,511880,银华日利ETF
2018-01-23,510050,上证50ETF华夏
2018-01-23,511660,货币ETF建信
2018-01-24,511990,华宝添益ETF
2018-01-24,511880,银华日利ETF
2018-01-24,510050,上证50ETF华夏
2018-01-24,511660,货币ETF建信
2018-01-25,511990,华宝添益ETF
2018-01-25,511880,银华日利ETF
2018-01-25,510050,上证50ETF华夏
2018-01-25,511660,货币ETF建信
2018-01-25,518880,黄金ETF华安
2018-01-26,511990,华宝添益ETF
2018-01-26,511880,银华日利ETF
2018-01-26,518880,黄金ETF华安
2018-01-26,510050,上证50ETF华夏
2018-01-29,511990,华宝添益ETF
2018-01-29,511880,银华日利ETF
2018-01-29,510050,上证50ETF华夏
2018-01-29,511660,货币ETF建信
